"Assigned Options","Assigned Options"
"Option Title:","Option Title:"
"Select Date","Select Date"
"Show by","Show by"
"Export to:","Export to:"
"Wishlist Report","Wishlist Report"
"Customers that have wishlist: %s%","Customers that have wishlist: %s%"
"Number of wishlists: %s","Number of wishlists: %s"
"Number of items bought from a wishlist: %s","Number of items bought from a wishlist: %s"
"Number of times wishlists have been shared (emailed): %s","Number of times wishlists have been shared (emailed): %s"
"Number of wishlist referrals: %s","Number of wishlist referrals: %s"
"Number of wishlist conversions: %s","Number of wishlist conversions: %s"
"Category Manager","Category Manager"
"Point Currencies","Point Currencies"
"All Point Transfers","All Point Transfers"
"Choose Store View","Choose Store View"
"Please confirm site switching. All data that hasn\'t been saved will be lost.","Please confirm site switching. All data that hasn\'t been saved will be lost."
"Personal Information","Personal Information"
"Are you sure that you want to delete this tag?","Are you sure that you want to delete this tag?"
"Import / Export Tax Rates","Import / Export Tax Rates"
"Import Tax Rates","Import Tax Rates"
"Export Tax Rates","Export Tax Rates"
"Select Category","Select Category"
"Page","Page"
"Previous page","Previous page"
"Next page","Next page"
"of %s pages","of %s pages"
"View","View"
"per page","per page"
"Total %d records found","Total %d records found"
"This tab contains invalid data. Please solve the problem before saving.","This tab contains invalid data. Please solve the problem before saving."
"You will be redirected to Amazon Checkout website when you place an order.","You will be redirected to Amazon Checkout website when you place an order."
"Checkout by Amazon","Checkout by Amazon"
"Search Site","Search Site"
"Search","Search"
"Search entire store here...","Search entire store here..."
"Subscribe to Feed","Subscribe to Feed"
"Search results for ","Search results for "
"Your search returns no results.","Your search returns no results."
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
"Shopping Cart","Shopping Cart"
"Remove","Remove"
"Product Name","Product Name"
"Move to Wishlist","Move to Wishlist"
"Unit Price","Unit Price"
"Qty","Qty"
"Total Before<br/>Redemptions","Total Before<br/>Redemptions"
"Subtotal","Subtotal"
"Continue Shopping","Continue Shopping"
"Update Shopping Cart","Update Shopping Cart"
"Your order has been received","Your order has been received"
"Thank you for your purchase!","Thank you for your purchase!"
"Your order # is: <a href=","Your order # is: <a href="
"Your order # is: %s","Your order # is: %s"
"You will receive an order confirmation email with details of your order and a link to track its progress.","You will receive an order confirmation email with details of your order and a link to track its progress."
"Click <a href=","Click <a href="
"Contact Us","Contact Us"
"Contact Information","Contact Information"
"Name","Name"
"Email","Email"
"Telephone","Telephone"
"Comment","Comment"
"* Required Fields","* Required Fields"
"Submit","Submit"
"Edit Address","Edit Address"
"You have no primary entries in your address book.","You have no primary entries in your address book."
"Additional Address Entries","Additional Address Entries"
"Delete Address","Delete Address"
"You have no additional entries in your address book.","You have no additional entries in your address book."
"Back","Back"
"New Address","New Address"
"Are you sure you want to delete this address?","Are you sure you want to delete this address?"
"Your account balance is: %s","Your account balance is: %s"
"Edit Personal Information","Edit Personal Information"
"Edit Newsletter Subscription","Edit Newsletter Subscription"
"Addresses","Addresses"
"Go to Address Book","Go to Address Book"
"Order List...","Order List..."
"View Order List","View Order List"
"My Wishlist","My Wishlist"
"My Reviews","My Reviews"
"My Tags","My Tags"
"Last Viewed Items","Last Viewed Items"
"You","You"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","You have been successfully logged out and will be redirected to our homepage in 5 seconds."
"My Orders","My Orders"
"Order #","Order #"
"Date","Date"
"Total","Total"
"Status","Status"
"Details","Details"
"View Order","View Order"
"You have placed no orders yet.","You have placed no orders yet."
"Wishlist","Wishlist"
"Product","Product"
"To Cart","To Cart"
"Update","Update"
"You have placed no products yet.","You have placed no products yet."
"Select Your Currency","Select Your Currency"
"Gift Message","Gift Message"
"Save","Save"
"Cancel","Cancel"
"Your gift message has been successfully saved","Your gift message has been successfully saved"
"Close","Close"
"Your gift message has been successfully removed","Your gift message has been successfully removed"
"Edit Gift Message","Edit Gift Message"
"Add Gift Message","Add Gift Message"
"Do you have any gift items in your order?","Do you have any gift items in your order?"
"Check this checkbox if you want to add gift messages.","Check this checkbox if you want to add gift messages."
"Enter a gift message for entire order.","Enter a gift message for entire order."
"You can leave a box blank if you don\'t wish to add a gift message for whole order.","You can leave a box blank if you don\'t wish to add a gift message for whole order."
"Enter a gift message for each item in your order.","Enter a gift message for each item in your order."
"You can leave a box blank if you don\'t wish to add a gift message for the item.","You can leave a box blank if you don\'t wish to add a gift message for the item."
"Item %d of %d","Item %d of %d"
"Gift Messages","Gift Messages"
"Check this checkbox if you want to add gift messages to your items.","Check this checkbox if you want to add gift messages to your items."
"Enter a gift message for this address.","Enter a gift message for this address."
"You can leave a box blank if you don\'t wish to add a gift message for this address.","You can leave a box blank if you don\'t wish to add a gift message for this address."
"You will be redirected to Google Checkout website when you place an order.","You will be redirected to Google Checkout website when you place an order."
"Fast checkout through Google","Fast checkout through Google"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","This is a demo store. Any orders placed through this store will not be honored or fulfilled."
"Close Window","Close Window"
"Redirecting...","Redirecting..."
"Paypal Checkout","Paypal Checkout"
"Paypal UK Checkout","Paypal UK Checkout"
"Community Poll","Community Poll"
"Vote","Vote"
"Sign up for price alert","Sign up for price alert"
"Sign up to get notified when this product is back in stock","Sign up to get notified when this product is back in stock"
"Be the first to review this product","Be the first to review this product"
"Your Recently Compared","Your Recently Compared"
"Add to Cart","Add to Cart"
"Out of stock","Out of stock"
"Add to Wishlist","Add to Wishlist"
"Add to Compare","Add to Compare"
"Your Recently Viewed","Your Recently Viewed"
"Recently Compared Products","Recently Compared Products"
"Recently Viewed Products","Recently Viewed Products"
"Write Your Own Review","Write Your Own Review"
"How do you rate this product?","How do you rate this product?"
"Nickname","Nickname"
"Summary of Your Review","Summary of Your Review"
"Submit Review","Submit Review"
"Please select one of each of the ratings above","Please select one of each of the ratings above"
"Review Details","Review Details"
"Average Customer Rating","Average Customer Rating"
"Product Rating:","Product Rating:"
"Product Review (submitted on %s):","Product Review (submitted on %s):"
"Back to Product Reviews","Back to Product Reviews"
"Account Information","Account Information"
"RSS Feeds","RSS Feeds"
"Miscellaneous Feeds","Miscellaneous Feeds"
"Get Feed","Get Feed"
"Category Feeds","Category Feeds"
"There are no Rss Feeds","There are no Rss Feeds"
"Remove Email","Remove Email"
"Name:","Name:"
"Email Address","Email Address"
"Email to a Friend","Email to a Friend"
"Sender:","Sender:"
"Email:","Email:"
"Message:","Message:"
"Recipient:","Recipient:"
"Maximum %d email addresses allowed.","Maximum %d email addresses allowed."
"Add Recipient","Add Recipient"
"Send email","Send email"
"All Tags","All Tags"
"Tags Aren","Tags Aren"
"Product Tags","Product Tags"
"Other people marked this product with these tags:","Other people marked this product with these tags:"
"Add Your Tags:","Add Your Tags:"
"Add Tags","Add Tags"
"Use spaces to separate tags. Use single quotes (","Use spaces to separate tags. Use single quotes ("
"Popular Tags","Popular Tags"
"View All Tags","View All Tags"
"Search Results for ","Search Results for "
"Products tagged with ","Products tagged with "
"Add All to Cart","Add All to Cart"
"Wishlist is empty now.","Wishlist is empty now."
"Share Your Wishlist","Share Your Wishlist"
"Sharing Information","Sharing Information"
"Email addresses, separated by commas","Email addresses, separated by commas"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Check this checkbox if you want to add a link to an rss feed to your wishlist."
"Share Wishlist","Share Wishlist"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com."
"My Wishlist - <a href=","My Wishlist - <a href="
"Last Added Items","Last Added Items"
"Are you sure you would like to remove this item from the wishlist?","Are you sure you would like to remove this item from the wishlist?"
"Remove Item","Remove Item"
"You have no items in your wishlist.","You have no items in your wishlist."
"Go to Wishlist","Go to Wishlist"
"RSS Feed","RSS Feed"
"Added On","Added On"
"Update Wishlist","Update Wishlist"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
"Save Category","Save Category"
"Delete Category","Delete Category"
"Save And Continue Edit","Save And Continue Edit"
"Edit Category  ","Edit Category  "
"Add Category","Add Category"
"ID","ID"
"Title","Title"
"Identifier","Identifier"
"Sort Order","Sort Order"
"Action","Action"
"Delete","Delete"
"CSV","CSV"
"XML","XML"
"Save Comment","Save Comment"
"Delete Comment","Delete Comment"
"Edit Comment By ","Edit Comment By "
"Add Comment","Add Comment"
"Poster","Poster"
"Eamil Address","Eamil Address"
"Created","Created"
"Approve","Approve"
"Unapprove","Unapprove"
"Save Currency","Save Currency"
"Delete Transfer","Delete Transfer"
"Edit Currency #%s","Edit Currency #%s"
"Create New Currency","Create New Currency"
"Is Active","Is Active"
"Value","Value"
"Apply Rules","Apply Rules"
"Catalog Points Rules","Catalog Points Rules"
"Add New Rule","Add New Rule"
"Shopping Cart Points Rules","Shopping Cart Points Rules"
"Save Rule","Save Rule"
"Delete Rule","Delete Rule"
"Edit Rule ","Edit Rule "
"Rule Name","Rule Name"
"Date Start","Date Start"
"Date Expire","Date Expire"
"Priority","Priority"
"Save Transfer","Save Transfer"
"Create A New Transfer","Create A New Transfer"
"Revoke Transfer","Revoke Transfer"
"Edit Transfer #%s","Edit Transfer #%s"
"Created Time","Created Time"
"Customer ID","Customer ID"
"Customer","Customer"
"Reason","Reason"
"Comments/Notes","Comments/Notes"
"Change status","Change status"
"You are trying to redeem more points than you have in","You are trying to redeem more points than you have in"
"You are trying to redeem points but you","You are trying to redeem points but you"
"<i>No points</i>.","<i>No points</i>."
"Promotions","Promotions"
"Please enter a number more than zero (0).","Please enter a number more than zero (0)."
"Could not approve points.","Could not approve points."
"Failed to transfer points to customer %s","Failed to transfer points to customer %s"
"Successfully transfered %s to %s customer(s).","Successfully transfered %s to %s customer(s)."
"Woops, ran into error while trying to process your request: ","Woops, ran into error while trying to process your request: "
"Catalog Point Rule","Catalog Point Rule"
"Catalog","Catalog"
"You must still APPLY rules before they will take effect!","You must still APPLY rules before they will take effect!"
"The rule you are trying to delete no longer exists","The rule you are trying to delete no longer exists"
"Rules were successfully applied","Rules were successfully applied"
"Unable to apply rules","Unable to apply rules"
"Are you sure you want to delete this category?","Are you sure you want to delete this category?"
"Categories","Categories"
"Expand All","Expand All"
"Please select one or more attributes.","Please select one or more attributes."
"Customer Groups","Customer Groups"
"Add New Customer Group","Add New Customer Group"
"Customer Addresses","Customer Addresses"
"Set as Default Billing Address","Set as Default Billing Address"
"Default Billing Address","Default Billing Address"
"Set as Default Shipping Address","Set as Default Shipping Address"
"Default Shipping Address","Default Shipping Address"
"This customer has no saved addresses.","This customer has no saved addresses."
"New Customer Address","New Customer Address"
"Are you sure you want to cancel adding of this address?","Are you sure you want to cancel adding of this address?"
"No item specified.","No item specified."
"Are you sure that you want to remove this item?","Are you sure that you want to remove this item?"
"Last Logged In:","Last Logged In:"
"Last Logged In (%s):","Last Logged In (%s):"
"Confirmed email:","Confirmed email:"
"Account Created on:","Account Created on:"
"Account Created on (%s):","Account Created on (%s):"
"Account Created in:","Account Created in:"
"Customer Group:","Customer Group:"
"Primary Billing Address","Primary Billing Address"
"View Statistics for","View Statistics for"
"All Websites","All Websites"
"Excl. Tax","Excl. Tax"
"Incl. Tax","Incl. Tax"
"Total incl. tax","Total incl. tax"
"Discount","Discount"
"Shipping Amount","Shipping Amount"
"Tax Amount","Tax Amount"
"Grand Total","Grand Total"
"Contents","Contents"
"Role","Role"
"Path","Path"
"Type","Type"
"Include","Include"
"Ignore","Ignore"
"File","File"
"Recursive Dir","Recursive Dir"
"Add Contents Path","Add Contents Path"
"Packages","Packages"
"Package","Package"
"Channel","Channel"
"Min","Min"
"Max","Max"
"Recommended","Recommended"
"Exclude","Exclude"
"Add Package dependency","Add Package dependency"
"Subpackages","Subpackages"
"Subpackage","Subpackage"
"Add Subpackage dependency","Add Subpackage dependency"
"Extensions","Extensions"
"Extension","Extension"
"Add PHP Extension dependency","Add PHP Extension dependency"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost."
"Maintainers","Maintainers"
"Level","Level"
"User","User"
"Active","Active"
"Inactive","Inactive"
"Add Maintainer","Add Maintainer"
"Upload Local File","Upload Local File"
"Upload local file:","Upload local file:"
"Download Remote File","Download Remote File"
"Remote URL:","Remote URL:"
"Actions","Actions"
"Date:","Date:"
"Version:","Version:"
"API:","API:"
"License:","License:"
"Notes:","Notes:"
"Provided Files","Provided Files"
"md5sum","md5sum"
"Dependencies","Dependencies"
"Package Information","Package Information"
"Channel:","Channel:"
"Summary:","Summary:"
"Description:","Description:"
"Current Release Information","Current Release Information"
"Upgrade All Available Packages","Upgrade All Available Packages"
"Done by:","Done by:"
"Done By:","Done By:"
"Newsletter Problem Reports","Newsletter Problem Reports"
"Newsletter Queue","Newsletter Queue"
"Newsletter Subscribers","Newsletter Subscribers"
"Add to Queue","Add to Queue"
"Are you sure that you want to strip all tags?","Are you sure that you want to strip all tags?"
" Copy"," Copy"
"Are you sure that you want to delete this template?","Are you sure that you want to delete this template?"
"Add New Template","Add New Template"
"Newsletter Message Preview","Newsletter Message Preview"
"About the calendar","About the calendar"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Prev. year (hold for menu)","Prev. year (hold for menu)"
"Prev. month (hold for menu)","Prev. month (hold for menu)"
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Display %s first","Display %s first"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"Please select an option.","Please select an option."
"This is a required field.","This is a required field."
"Please enter a valid number in this field.","Please enter a valid number in this field."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Please use numbers only in this field. please avoid spaces or other characters such as dots or commas."
"Please use letters only (a-z) in this field.","Please use letters only (a-z) in this field."
"Please use in this field only ","Please use in this field only "
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890."
"Please enter a valid date.","Please enter a valid date."
"Please enter a valid email address. For example johndoe@domain.com.","Please enter a valid email address. For example johndoe@domain.com."
"Please enter 6 or more characters.","Please enter 6 or more characters."
"Please make sure your passwords match.","Please make sure your passwords match."
"Please enter a valid URL. http:// is required","Please enter a valid URL. http:// is required"
"Please enter a valid URL. For example http://www.example.com or www.example.com","Please enter a valid URL. For example http://www.example.com or www.example.com"
"Please enter a valid social security number. For example 123-45-6789.","Please enter a valid social security number. For example 123-45-6789."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Please enter a valid zip code. For example 90602 or 90602-1234."
"Please enter a valid zip code.","Please enter a valid zip code."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006."
"Please enter a valid $ amount. For example $100.00.","Please enter a valid $ amount. For example $100.00."
"Please select one of the above options.","Please select one of the above options."
"Please select one of the options.","Please select one of the options."
"Please select State/Province.","Please select State/Province."
"Please enter valid password.","Please enter valid password."
"Please enter a number greater than 0 in this field.","Please enter a number greater than 0 in this field."
"Please enter a valid credit card number.","Please enter a valid credit card number."
"Please wait, loading...","Please wait, loading..."
"",""
"Name on Card","Name on Card"
"Credit Card Type","Credit Card Type"
"Credit Card Number","Credit Card Number"
"Expiration Date","Expiration Date"
"Card Verification Number","Card Verification Number"
"<label>Make Check payable to:</label> %s","<label>Make Check payable to:</label> %s"
"Send Check to:","Send Check to:"
"Purchase Order Number","Purchase Order Number"
"Name on the Card: %s","Name on the Card: %s"
"Credit Card Type: %s","Credit Card Type: %s"
"Credit Card Number: xxxx-%s","Credit Card Number: xxxx-%s"
"Expiration Date: %s/%s","Expiration Date: %s/%s"
"Credit Card Number: %s","Credit Card Number: %s"
"Make Check payable to: %s","Make Check payable to: %s"
"Purchase Order Number: %s","Purchase Order Number: %s"
"PayPal Email","PayPal Email"
"Switch/Solo Only","Switch/Solo Only"
"Issue Number","Issue Number"
"Start Date","Start Date"
"What is this?","What is this?"
"Switch/Solo card issue number: %s","Switch/Solo card issue number: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo card start Date: %s/%s"
"Assigned Answers","Assigned Answers"
"Answer Title:","Answer Title:"
"Votes Count:","Votes Count:"
"Are you sure you want to delete it?","Are you sure you want to delete it?"
"Show Report for","Show Report for"
"Customer Point Balances","Customer Point Balances"
"Customer Point Distributions","Customer Point Distributions"
"All Other Transfers","All Other Transfers"
"Customer Point Redemptions","Customer Point Redemptions"
"Please enter a valid value, ex: 10,20,30","Please enter a valid value, ex: 10,20,30"
"Please enter a valid value from list","Please enter a valid value from list"
"Current Configuration Scope:","Current Configuration Scope:"
"Manage Stores","Manage Stores"
"Import Service","Import Service"
"Design","Design"
"Leave empty to use tax identifier","Leave empty to use tax identifier"
"Website","Website"
"Country/State","Country/State"
"Tax","Tax"
"Select All","Select All"
"Unselect All","Unselect All"
"Select Visible","Select Visible"
"Unselect Visible","Unselect Visible"
"items selected","items selected"
"Your billing address will be ignored and you will be redirected to Amazon Simple Pay website.","Your billing address will be ignored and you will be redirected to Amazon Simple Pay website."
"You will be redirected to Amazon Simple Pay in a few seconds.","You will be redirected to Amazon Simple Pay in a few seconds."
"Your billing address will be ignored and you will be redirected to Checkout by Amazon website.","Your billing address will be ignored and you will be redirected to Checkout by Amazon website."
"Subscribe to RSS Feed","Subscribe to RSS Feed"
"Currently Shopping by","Currently Shopping by"
"Remove This Item","Remove This Item"
"Clear All Items","Clear All Items"
"Shop by","Shop by"
"Shopping Options","Shopping Options"
"Browse By","Browse By"
"Category","Category"
"Category Navigation:","Category Navigation:"
"Prev","Prev"
"Next","Next"
"There are no products matching the selection.","There are no products matching the selection."
"Learn More","Learn More"
"New Products","New Products"
"Excl. Tax:","Excl. Tax:"
"Incl. Tax:","Incl. Tax:"
"Regular Price:","Regular Price:"
"Special Price:","Special Price:"
"As low as:","As low as:"
"Starting at:","Starting at:"
"OR","OR"
"Quick Overview","Quick Overview"
"Product Description","Product Description"
"Additional Information","Additional Information"
"There are no %s available.","There are no %s available."
"Catalog Advanced Search","Catalog Advanced Search"
"Search Settings","Search Settings"
"Required Fields","Required Fields"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Modify your search","Modify your search"
"Don","Don"
"Discount Codes","Discount Codes"
"Enter your coupon code if you have one.","Enter your coupon code if you have one."
"Apply Coupon","Apply Coupon"
"Cancel Coupon","Cancel Coupon"
"Based on your selection, you may be interested in the following items:","Based on your selection, you may be interested in the following items:"
"Shopping Cart is Empty","Shopping Cart is Empty"
